Matrix,_-2000:-1201,_-1200:-401,_-400:-399,_400:1199,_1200:1999,all
Cd20ro01794Ezh239875Sig,-0.057891552,-0.073051258,-0.066410302,-0.060527023,-0.050675173,-0.093001609
Cd20ro01794H3k27acSig,-0.036348674,-0.047044659,-0.052815882,-0.062584916,-0.039303004,-0.06215559
Cd20ro01794H4k20me1Sig,-0.01017029,-0.017124023,0.012172134,-0.014689886,0.00109218,-0.018172875
Dnd41ControlStdSig,0.03519154,0.029482611,0.096667021,0.033315754,0.030080277,0.061181122
Dnd41CtcfSig,-0.01298795,-0.030166234,-0.029339845,-0.030003638,-0.009516698,-0.045510077
Dnd41Ezh239875Sig,0.034448176,0.030156773,0.050133212,0.007294654,0.020947833,0.027968996
Dnd41H2azSig,-0.022344051,-0.049276475,-0.030383575,-0.060816508,-0.044306953,-0.069825441
Dnd41H3k04me1Sig,-0.010635115,-0.034147915,-0.016169125,-0.032152986,-0.014105455,-0.020646764
Dnd41H3k04me2Sig,-0.028251375,-0.05282946,-0.057254098,-0.053375734,-0.030403139,-0.044037217
Dnd41H3k04me3Sig,-0.025576251,-0.053647577,-0.026528157,-0.057928968,-0.031417896,-0.040156801
Dnd41H3k09acSig,-0.000129241,-0.012186562,0.006242344,-0.020099007,-0.00733082,-0.002080149
Dnd41H3k09me3Sig,-0.024783306,-0.051912796,-0.035706514,-0.046342285,-0.023088828,-0.056249568
Dnd41H3k27acSig,0.029622931,0.016523779,0.052779211,0.010518515,0.023337374,0.026591017
Dnd41H3k27me3Sig,0.033389835,0.02701712,0.059352818,0.02379875,0.030337908,0.036786565
Dnd41H3k36me3Sig,0.025011941,0.016420337,0.044033423,0.010349334,0.025763595,0.029395598
